product_id,product_name,category,price,cost,stock_quantity,reorder_level
38,Smart Garden Item 38,Garden,292.37,189.31,484,48
39,Deluxe Electronics Item 39,Electronics,318.90,154.33,205,20
40,Smart Books Item 40,Books,475.18,241.16,925,92
41,Eco Sports Item 41,Sports,249.24,92.92,91,9
42,Smart Sports Item 42,Sports,93.12,57.73,621,62
43,Essential Electronics Item 43,Electronics,155.18,55.59,334,33
44,Classic Clothing Item 44,Clothing,280.09,204.99,1981,198
45,Smart Sports Item 45,Sports,379.43,163.15,152,15
46,Essential Books Item 46,Books,185.50,67.35,330,33
47,Essential Electronics Item 47,Electronics,123.22,88.09,1093,109
48,Deluxe Toys Item 48,Toys,436.50,227.48,908,90
49,Classic Beauty Item 49,Beauty,150.26,106.40,1990,199
50,Classic Sports Item 50,Sports,124.83,81.82,318,31
51,Deluxe Electronics Item 51,Electronics,144.70,93.71,842,84
52,Ultra Beauty Item 52,Beauty,47.27,27.56,1195,119
53,Smart Electronics Item 53,Electronics,264.94,193.03,1674,167
54,Pro Electronics Item 54,Electronics,379.30,190.47,1910,191
55,Pro Garden Item 55,Garden,393.08,248.50,985,98
56,Deluxe Sports Item 56,Sports,69.05,46.24,955,95
57,Pro Sports Item 57,Sports,155.89,97.58,804,80
58,Ultra Books Item 58,Books,170.25,61.55,1668,166
59,Ultra Home Item 59,Home,74.97,34.18,416,41
60,Eco Toys Item 60,Toys,287.77,198.74,1489,148
61,Smart Books Item 61,Books,337.34,209.53,1014,101
62,Ultra Sports Item 62,Sports,128.31,52.97,1781,178
63,Deluxe Home Item 63,Home,87.02,33.48,482,48
64,Essential Home Item 64,Home,474.34,341.82,157,15
65,Smart Toys Item 65,Toys,309.09,143.86,51,5
66,Classic Beauty Item 66,Beauty,296.30,211.70,1876,187
67,Essential Garden Item 67,Garden,461.80,166.62,760,76
68,Deluxe Toys Item 68,Toys,182.47,102.10,793,79
69,Eco Clothing Item 69,Clothing,443.06,285.64,204,20
70,Essential Sports Item 70,Sports,483.51,290.81,1079,107
71,Ultra Clothing Item 71,Clothing,383.60,220.24,106,10
72,Essential Home Item 72,Home,433.02,180.87,1237,123
73,Essential Garden Item 73,Garden,240.28,88.67,1510,151
74,Pro Books Item 74,Books,152.17,69.47,601,60
75,Smart Home Item 75,Home,340.26,161.98,327,32
76,Pro Toys Item 76,Toys,436.07,162.18,837,83
77,Ultra Books Item 77,Books,18.19,11.60,908,90
78,Essential Home Item 78,Home,234.20,118.82,802,80
79,Essential Electronics Item 79,Electronics,388.81,169.97,1731,173
80,Deluxe Sports Item 80,Sports,353.04,230.42,439,43
81,Essential Garden Item 81,Garden,241.48,121.21,1488,148
82,Classic Sports Item 82,Sports,238.84,129.60,1624,162
83,Essential Home Item 83,Home,387.06,162.76,536,53
84,Classic Home Item 84,Home,257.42,170.68,157,15
85,Eco Home Item 85,Home,271.71,148.52,854,85
86,Ultra Clothing Item 86,Clothing,378.26,208.75,883,88
87,Ultra Clothing Item 87,Clothing,143.39,91.14,1264,126
88,Classic Garden Item 88,Garden,306.58,180.92,596,59
89,Deluxe Clothing Item 89,Clothing,159.25,110.14,843,84
90,Ultra Clothing Item 90,Clothing,424.20,207.35,1983,198
91,Smart Clothing Item 91,Clothing,10.29,7.36,1154,115
92,Classic Toys Item 92,Toys,417.45,177.44,672,67
93,Deluxe Toys Item 93,Toys,480.88,268.45,71,7
94,Eco Toys Item 94,Toys,84.06,44.89,1939,193
95,Essential Toys Item 95,Toys,458.42,273.34,1298,129
96,Essential Toys Item 96,Toys,39.43,16.68,698,69
97,Pro Books Item 97,Books,180.64,72.53,63,6
98,Deluxe Garden Item 98,Garden,213.43,138.81,961,96
99,Pro Garden Item 99,Garden,61.22,44.59,778,77
100,Pro Home Item 100,Home,443.04,181.82,500,50
101,Classic Sports Item 101,Sports,67.12,50.13,829,82
102,Eco Beauty Item 102,Beauty,125.83,72.22,436,43
103,Deluxe Garden Item 103,Garden,298.48,217.32,1422,142
104,Ultra Home Item 104,Home,167.24,116.24,758,75
105,Ultra Clothing Item 105,Clothing,296.25,105.96,746,74
106,Ultra Toys Item 106,Toys,355.40,174.72,1245,124
107,Ultra Beauty Item 107,Beauty,148.61,103.07,705,70
108,Pro Electronics Item 108,Electronics,142.39,67.84,189,18
109,Smart Electronics Item 109,Electronics,202.58,101.80,844,84
110,Essential Electronics Item 110,Electronics,280.29,103.07,656,65
111,Smart Home Item 111,Home,134.21,78.07,1973,197
112,Essential Clothing Item 112,Clothing,497.25,298.55,514,51
113,Ultra Home Item 113,Home,473.71,322.41,124,12
114,Pro Home Item 114,Home,58.12,32.96,809,80
115,Smart Toys Item 115,Toys,409.98,169.85,1113,111
116,Deluxe Home Item 116,Home,439.92,170.46,1268,126
117,Essential Toys Item 117,Toys,444.84,308.77,1217,121
118,Eco Clothing Item 118,Clothing,358.29,204.50,1965,196
119,Essential Beauty Item 119,Beauty,339.49,193.83,395,39
120,Eco Toys Item 120,Toys,47.93,31.75,657,65
121,Deluxe Sports Item 121,Sports,114.11,83.23,805,80
122,Essential Books Item 122,Books,297.20,137.63,1445,144
123,Ultra Books Item 123,Books,30.96,14.48,300,30
124,Classic Toys Item 124,Toys,275.88,182.23,1673,167
125,Eco Beauty Item 125,Beauty,200.88,129.11,1784,178
126,Pro Clothing Item 126,Clothing,384.88,278.42,827,82
127,Classic Clothing Item 127,Clothing,460.40,270.95,794,79
128,Smart Books Item 128,Books,33.48,17.59,1020,102
129,Classic Toys Item 129,Toys,18.59,12.25,2000,200
130,Classic Clothing Item 130,Clothing,466.63,192.73,1955,195
131,Eco Toys Item 131,Toys,52.48,36.35,1543,154
132,Ultra Garden Item 132,Garden,13.44,6.28,1118,111
133,Ultra Electronics Item 133,Electronics,230.91,126.82,1469,146
134,Classic Home Item 134,Home,105.14,41.50,1213,121
135,Deluxe Toys Item 135,Toys,396.05,231.24,819,81
136,Eco Beauty Item 136,Beauty,392.22,161.20,983,98
137,Eco Books Item 137,Books,189.08,95.79,1148,114
138,Ultra Books Item 138,Books,402.50,209.09,615,61
139,Eco Books Item 139,Books,117.04,67.06,1377,137
140,Deluxe Toys Item 140,Toys,140.44,95.52,775,77
141,Deluxe Garden Item 141,Garden,180.07,88.04,1518,151
142,Ultra Garden Item 142,Garden,278.69,104.86,1306,130
143,Smart Toys Item 143,Toys,228.73,165.99,970,97
144,Deluxe Home Item 144,Home,44.80,32.34,181,18
145,Smart Sports Item 145,Sports,15.56,11.60,1294,129
146,Eco Sports Item 146,Sports,84.76,45.98,1984,198
147,Ultra Toys Item 147,Toys,299.44,115.62,1466,146
148,Eco Books Item 148,Books,303.07,131.06,1589,158
149,Classic Garden Item 149,Garden,264.09,164.24,795,79
150,Deluxe Beauty Item 150,Beauty,454.18,212.65,1768,176
151,Pro Garden Item 151,Garden,268.94,184.62,1390,139
152,Essential Garden Item 152,Garden,485.45,221.60,1199,119
153,Pro Toys Item 153,Toys,492.82,285.69,1318,131
154,Eco Garden Item 154,Garden,317.21,154.70,188,18
155,Essential Garden Item 155,Garden,212.49,92.91,1649,164
156,Eco Books Item 156,Books,143.27,73.78,322,32
157,Pro Clothing Item 157,Clothing,296.22,208.70,1675,167
158,Classic Home Item 158,Home,309.38,185.09,869,86
159,Ultra Garden Item 159,Garden,387.06,205.91,1042,104
160,Ultra Sports Item 160,Sports,91.67,61.81,786,78
161,Classic Sports Item 161,Sports,103.73,59.73,1641,164
162,Essential Home Item 162,Home,100.76,58.71,1946,194
163,Eco Clothing Item 163,Clothing,67.53,24.88,891,89
164,Deluxe Garden Item 164,Garden,345.74,183.07,874,87
165,Pro Garden Item 165,Garden,495.63,364.80,1207,120
166,Smart Clothing Item 166,Clothing,154.35,98.08,1660,166
167,Pro Electronics Item 167,Electronics,83.05,56.53,1122,112
168,Smart Sports Item 168,Sports,385.03,250.00,533,53
169,Essential Beauty Item 169,Beauty,43.90,29.11,574,57
170,Pro Toys Item 170,Toys,246.29,96.79,96,9
171,Classic Electronics Item 171,Electronics,321.75,199.85,721,72
172,Deluxe Home Item 172,Home,169.15,72.75,74,7
173,Essential Books Item 173,Books,190.37,119.55,1052,105
174,Deluxe Toys Item 174,Toys,432.00,209.19,383,38
175,Ultra Home Item 175,Home,431.83,300.68,117,11
176,Eco Electronics Item 176,Electronics,195.51,130.55,1486,148
177,Smart Garden Item 177,Garden,228.63,138.71,618,61
178,Ultra Books Item 178,Books,321.07,123.03,1358,135
179,Ultra Electronics Item 179,Electronics,460.31,335.17,12,5
180,Smart Toys Item 180,Toys,465.37,249.85,1899,189
181,Pro Home Item 181,Home,462.57,166.98,1719,171
182,Classic Toys Item 182,Toys,264.83,142.75,1630,163
183,Smart Electronics Item 183,Electronics,402.78,284.58,1152,115
184,Eco Clothing Item 184,Clothing,247.02,124.77,264,26
185,Classic Clothing Item 185,Clothing,244.28,99.85,93,9
186,Classic Books Item 186,Books,349.74,193.40,1817,181
187,Eco Toys Item 187,Toys,185.57,110.17,14,5
188,Classic Clothing Item 188,Clothing,336.71,166.06,1681,168
189,Eco Clothing Item 189,Clothing,116.20,77.79,1448,144
190,Ultra Home Item 190,Home,381.92,157.06,1771,177
191,Deluxe Electronics Item 191,Electronics,191.19,71.73,66,6
192,Pro Home Item 192,Home,122.62,43.94,1439,143
193,Pro Beauty Item 193,Beauty,437.38,315.20,1710,171
194,Deluxe Sports Item 194,Sports,288.94,157.17,407,40
195,Deluxe Books Item 195,Books,275.80,173.21,822,82
196,Eco Electronics Item 196,Electronics,337.71,219.95,307,30
197,Smart Books Item 197,Books,224.74,80.05,1526,152
198,Deluxe Garden Item 198,Garden,346.78,163.33,435,43
199,Essential Books Item 199,Books,146.13,57.74,1998,199
200,Eco Garden Item 200,Garden,187.63,97.89,799,79
201,Eco Clothing Item 201,Clothing,481.17,245.09,189,18
202,Ultra Sports Item 202,Sports,493.98,219.49,1926,192
203,Deluxe Home Item 203,Home,189.88,75.16,1393,139
204,Eco Garden Item 204,Garden,195.36,71.49,407,40
205,Eco Home Item 205,Home,55.66,27.04,1658,165
206,Deluxe Electronics Item 206,Electronics,232.47,116.56,984,98
207,Eco Electronics Item 207,Electronics,348.78,213.98,1503,150
208,Deluxe Clothing Item 208,Clothing,116.06,64.95,448,44
209,Deluxe Electronics Item 209,Electronics,14.17,6.90,1055,105
210,Classic Clothing Item 210,Clothing,334.37,179.91,392,39
211,Deluxe Clothing Item 211,Clothing,471.26,166.79,274,27
212,Pro Electronics Item 212,Electronics,479.61,238.01,135,13
213,Ultra Beauty Item 213,Beauty,241.67,95.32,1576,157
214,Classic Garden Item 214,Garden,178.78,91.97,1899,189
215,Ultra Home Item 215,Home,140.93,58.15,807,80
216,Smart Beauty Item 216,Beauty,16.71,7.51,1743,174
217,Pro Books Item 217,Books,32.03,23.24,1171,117
218,Eco Beauty Item 218,Beauty,440.69,328.80,1296,129
219,Ultra Home Item 219,Home,94.75,55.35,1424,142
220,Essential Books Item 220,Books,396.81,180.73,1478,147
221,Classic Toys Item 221,Toys,463.53,330.07,1755,175
222,Deluxe Beauty Item 222,Beauty,316.62,198.64,284,28
223,Deluxe Electronics Item 223,Electronics,247.89,124.93,1392,139
224,Eco Books Item 224,Books,272.48,102.55,395,39
225,Essential Home Item 225,Home,402.80,195.35,1214,121
226,Essential Clothing Item 226,Clothing,113.59,76.34,1638,163
227,Smart Clothing Item 227,Clothing,243.91,112.62,783,78
228,Eco Electronics Item 228,Electronics,175.31,97.24,123,12
229,Deluxe Electronics Item 229,Electronics,209.88,141.28,935,93
230,Deluxe Electronics Item 230,Electronics,249.74,98.50,706,70
231,Deluxe Sports Item 231,Sports,360.64,190.03,411,41
232,Essential Home Item 232,Home,81.71,30.54,1834,183
233,Classic Beauty Item 233,Beauty,34.29,15.06,755,75
234,Deluxe Beauty Item 234,Beauty,97.46,52.75,1018,101
235,Eco Home Item 235,Home,443.00,304.26,1530,153
236,Deluxe Home Item 236,Home,5.91,2.69,891,89
237,Eco Clothing Item 237,Clothing,39.40,20.69,1882,188
238,Smart Clothing Item 238,Clothing,494.34,267.96,380,38
239,Smart Toys Item 239,Toys,40.31,22.00,801,80
240,Ultra Garden Item 240,Garden,409.57,152.11,306,30
241,Pro Books Item 241,Books,23.74,9.88,341,34
242,Pro Clothing Item 242,Clothing,269.57,95.78,432,43
243,Pro Home Item 243,Home,383.29,281.98,1195,119
244,Essential Clothing Item 244,Clothing,356.16,215.45,1724,172
245,Deluxe Sports Item 245,Sports,404.78,287.13,1736,173
246,Eco Clothing Item 246,Clothing,168.11,115.50,195,19
247,Smart Clothing Item 247,Clothing,441.18,259.25,480,48
248,Classic Electronics Item 248,Electronics,411.90,157.29,1214,121
249,Ultra Garden Item 249,Garden,286.08,159.57,1682,168
250,Deluxe Home Item 250,Home,227.96,121.85,440,44
251,Essential Electronics Item 251,Electronics,74.65,33.07,970,97
252,Deluxe Toys Item 252,Toys,448.78,290.20,24,5
253,Smart Electronics Item 253,Electronics,469.55,317.11,1522,152
254,Deluxe Garden Item 254,Garden,216.31,89.32,953,95
255,Smart Garden Item 255,Garden,22.05,15.52,1095,109
256,Ultra Beauty Item 256,Beauty,189.68,130.28,1583,158
257,Ultra Clothing Item 257,Clothing,458.10,219.46,641,64
258,Ultra Clothing Item 258,Clothing,65.66,41.76,1294,129
259,Essential Books Item 259,Books,270.89,164.61,1666,166
260,Eco Clothing Item 260,Clothing,293.29,132.30,1946,194
261,Smart Home Item 261,Home,115.34,52.37,94,9
262,Essential Home Item 262,Home,360.24,220.12,1963,196
263,Eco Beauty Item 263,Beauty,168.99,63.44,1086,108
264,Smart Home Item 264,Home,408.74,215.61,12,5
265,Essential Garden Item 265,Garden,270.03,120.80,705,70
266,Essential Toys Item 266,Toys,338.73,172.33,32,5
267,Smart Garden Item 267,Garden,71.69,48.60,523,52
268,Eco Garden Item 268,Garden,250.47,137.60,493,49
269,Smart Clothing Item 269,Clothing,227.72,119.31,470,47
270,Ultra Beauty Item 270,Beauty,69.04,37.19,173,17
271,Pro Clothing Item 271,Clothing,424.33,261.16,252,25
272,Ultra Toys Item 272,Toys,61.52,36.48,1175,117
273,Essential Garden Item 273,Garden,391.55,181.67,1199,119
274,Pro Sports Item 274,Sports,212.41,133.17,1661,166
275,Smart Beauty Item 275,Beauty,339.05,171.33,1271,127
276,Smart Clothing Item 276,Clothing,309.20,169.26,1304,130
277,Essential Books Item 277,Books,173.89,102.55,781,78
278,Eco Books Item 278,Books,290.08,122.51,1545,154
279,Classic Electronics Item 279,Electronics,348.88,181.52,1751,175
280,Pro Electronics Item 280,Electronics,242.00,111.00,1070,107
281,Ultra Books Item 281,Books,485.29,201.18,1767,176
282,Eco Toys Item 282,Toys,458.53,245.60,1237,123
283,Pro Sports Item 283,Sports,194.44,139.10,1342,134
284,Eco Books Item 284,Books,499.23,356.92,1418,141
285,Eco Electronics Item 285,Electronics,266.87,131.05,706,70
286,Ultra Sports Item 286,Sports,364.30,267.93,684,68
287,Pro Beauty Item 287,Beauty,121.68,53.61,1859,185
288,Smart Toys Item 288,Toys,300.81,214.45,412,41
289,Ultra Home Item 289,Home,95.78,49.43,459,45
290,Essential Beauty Item 290,Beauty,66.03,39.41,1139,113
291,Smart Sports Item 291,Sports,464.72,313.65,979,97
292,Eco Garden Item 292,Garden,83.15,30.88,481,48
293,Eco Garden Item 293,Garden,64.77,35.96,1400,140
294,Ultra Books Item 294,Books,235.36,92.84,779,77
295,Essential Toys Item 295,Toys,211.04,152.30,746,74
296,Eco Sports Item 296,Sports,301.55,225.58,1076,107
297,Pro Books Item 297,Books,437.36,318.29,1007,100
298,Deluxe Toys Item 298,Toys,203.71,131.69,1430,143
299,Eco Books Item 299,Books,156.58,80.97,1070,107
300,Ultra Books Item 300,Books,173.33,71.86,396,39
301,Deluxe Toys Item 301,Toys,119.94,83.64,1953,195
302,Pro Electronics Item 302,Electronics,53.53,33.05,1117,111
303,Ultra Garden Item 303,Garden,61.13,26.04,1123,112
304,Smart Sports Item 304,Sports,13.46,5.60,1432,143
305,Eco Electronics Item 305,Electronics,180.16,93.90,1334,133
306,Classic Beauty Item 306,Beauty,443.65,184.45,425,42
307,Smart Toys Item 307,Toys,65.93,42.42,166,16
308,Pro Toys Item 308,Toys,292.87,206.09,509,50
309,Smart Toys Item 309,Toys,138.99,51.94,856,85
310,Deluxe Beauty Item 310,Beauty,20.88,15.37,1535,153
311,Deluxe Clothing Item 311,Clothing,410.42,151.27,1329,132
312,Classic Garden Item 312,Garden,124.45,45.34,1663,166
313,Deluxe Clothing Item 313,Clothing,393.63,185.32,952,95
314,Pro Books Item 314,Books,196.97,83.32,1088,108
315,Essential Beauty Item 315,Beauty,206.17,148.30,467,46
316,Classic Sports Item 316,Sports,206.77,142.54,1369,136
317,Eco Electronics Item 317,Electronics,438.93,192.79,310,31
318,Classic Clothing Item 318,Clothing,317.16,194.43,1832,183
319,Pro Clothing Item 319,Clothing,427.29,179.35,1104,110
320,Ultra Clothing Item 320,Clothing,18.54,11.68,161,16
321,Ultra Electronics Item 321,Electronics,229.42,136.32,730,73
322,Essential Clothing Item 322,Clothing,232.57,162.08,1187,118
323,Smart Toys Item 323,Toys,30.38,14.68,297,29
324,Ultra Sports Item 324,Sports,22.43,10.14,1191,119
325,Classic Garden Item 325,Garden,474.84,266.23,1497,149
326,Ultra Books Item 326,Books,134.24,81.52,1645,164
327,Essential Books Item 327,Books,255.46,151.79,539,53
328,Eco Toys Item 328,Toys,106.87,74.40,986,98
329,Ultra Sports Item 329,Sports,113.71,40.25,466,46
330,Essential Electronics Item 330,Electronics,230.87,116.00,839,83
331,Ultra Home Item 331,Home,145.79,89.06,759,75
332,Smart Sports Item 332,Sports,324.51,119.64,257,25
333,Smart Home Item 333,Home,265.52,159.75,192,19
334,Pro Books Item 334,Books,377.24,148.42,288,28
335,Ultra Beauty Item 335,Beauty,30.52,18.79,1039,103
336,Deluxe Clothing Item 336,Clothing,250.04,153.18,210,21
337,Classic Books Item 337,Books,177.23,120.60,1343,134
338,Classic Sports Item 338,Sports,26.99,9.85,543,54
339,Smart Sports Item 339,Sports,331.50,141.90,1904,190
340,Smart Garden Item 340,Garden,186.85,84.47,775,77
341,Eco Sports Item 341,Sports,163.98,106.07,886,88
342,Ultra Home Item 342,Home,80.41,45.36,1462,146
343,Classic Books Item 343,Books,382.65,195.85,82,8
344,Deluxe Electronics Item 344,Electronics,246.04,163.10,1857,185
345,Deluxe Electronics Item 345,Electronics,475.13,340.73,1333,133
346,Classic Home Item 346,Home,58.39,25.73,1146,114
347,Essential Clothing Item 347,Clothing,55.11,21.42,1620,162
348,Deluxe Beauty Item 348,Beauty,413.35,193.82,128,12
349,Deluxe Books Item 349,Books,498.66,334.69,696,69
350,Pro Toys Item 350,Toys,278.27,140.43,765,76
351,Smart Books Item 351,Books,139.70,96.88,1865,186
352,Smart Toys Item 352,Toys,352.01,202.91,966,96
353,Essential Garden Item 353,Garden,187.43,134.13,1572,157
354,Ultra Clothing Item 354,Clothing,126.73,45.23,177,17
355,Ultra Beauty Item 355,Beauty,93.48,33.70,611,61
356,Smart Electronics Item 356,Electronics,49.31,17.76,891,89
357,Deluxe Home Item 357,Home,360.51,165.16,57,5
358,Ultra Clothing Item 358,Clothing,373.99,199.56,1601,160
359,Pro Home Item 359,Home,298.08,130.85,366,36
360,Pro Home Item 360,Home,261.31,105.82,1986,198
361,Smart Clothing Item 361,Clothing,301.46,184.38,958,95
362,Smart Garden Item 362,Garden,258.47,112.28,236,23
363,Classic Sports Item 363,Sports,78.78,28.82,1449,144
364,Ultra Garden Item 364,Garden,161.11,62.80,444,44
365,Smart Toys Item 365,Toys,39.00,20.59,530,53
366,Deluxe Garden Item 366,Garden,455.39,267.28,437,43
367,Ultra Beauty Item 367,Beauty,163.86,78.25,515,51
368,Essential Beauty Item 368,Beauty,319.52,190.87,707,70
369,Essential Clothing Item 369,Clothing,138.77,102.38,518,51
370,Pro Toys Item 370,Toys,148.02,84.23,270,27
371,Ultra Books Item 371,Books,6.13,3.47,612,61
372,Smart Toys Item 372,Toys,21.13,14.59,1341,134
373,Essential Clothing Item 373,Clothing,153.62,63.24,1538,153
374,Deluxe Electronics Item 374,Electronics,434.00,218.16,403,40
375,Eco Sports Item 375,Sports,250.95,158.05,1185,118
376,Pro Electronics Item 376,Electronics,166.56,81.98,44,5
377,Eco Electronics Item 377,Electronics,216.87,125.59,1076,107
378,Essential Books Item 378,Books,139.41,49.17,666,66
379,Deluxe Home Item 379,Home,197.54,88.02,104,10
380,Classic Books Item 380,Books,208.40,114.82,136,13
381,Eco Beauty Item 381,Beauty,201.21,89.37,650,65
382,Essential Electronics Item 382,Electronics,53.40,29.92,576,57
383,Pro Books Item 383,Books,95.22,47.13,546,54
384,Smart Garden Item 384,Garden,31.18,22.28,373,37
385,Pro Beauty Item 385,Beauty,123.94,53.35,1189,118
386,Classic Sports Item 386,Sports,274.24,128.80,326,32
387,Pro Clothing Item 387,Clothing,19.27,9.41,1550,155
388,Smart Electronics Item 388,Electronics,315.25,229.25,1303,130
389,Classic Books Item 389,Books,18.02,8.90,1867,186
390,Smart Books Item 390,Books,291.90,104.57,876,87
391,Eco Toys Item 391,Toys,221.32,159.33,644,64
392,Classic Clothing Item 392,Clothing,191.09,71.00,1530,153
393,Classic Beauty Item 393,Beauty,227.56,96.96,1487,148
394,Essential Electronics Item 394,Electronics,182.60,110.48,403,40
395,Ultra Toys Item 395,Toys,403.69,172.45,1239,123
396,Pro Sports Item 396,Sports,350.53,218.89,1481,148
397,Deluxe Electronics Item 397,Electronics,66.56,41.45,93,9
398,Deluxe Sports Item 398,Sports,247.10,105.38,1498,149
399,Pro Electronics Item 399,Electronics,473.83,306.23,1612,161
400,Eco Clothing Item 400,Clothing,287.82,147.13,1597,159
401,Pro Garden Item 401,Garden,348.32,179.92,799,79
402,Deluxe Toys Item 402,Toys,332.09,155.86,419,41
403,Pro Sports Item 403,Sports,219.60,79.71,1121,112
404,Ultra Sports Item 404,Sports,449.91,169.35,378,37
405,Ultra Garden Item 405,Garden,395.29,234.23,101,10
406,Eco Clothing Item 406,Clothing,456.80,169.83,634,63
407,Deluxe Sports Item 407,Sports,118.95,59.55,1283,128
408,Classic Books Item 408,Books,329.92,183.47,587,58
409,Deluxe Sports Item 409,Sports,161.69,70.48,1007,100
410,Essential Home Item 410,Home,362.21,128.61,1687,168
411,Eco Beauty Item 411,Beauty,119.92,86.88,1077,107
412,Deluxe Books Item 412,Books,209.53,145.86,82,8
413,Ultra Sports Item 413,Sports,420.76,153.21,32,5
414,Smart Clothing Item 414,Clothing,306.11,153.62,1107,110
415,Pro Toys Item 415,Toys,423.34,231.35,1049,104
416,Essential Beauty Item 416,Beauty,346.36,171.58,111,11
417,Pro Beauty Item 417,Beauty,314.84,121.78,1451,145
418,Eco Garden Item 418,Garden,339.83,170.17,1792,179
419,Essential Clothing Item 419,Clothing,83.81,55.86,293,29
420,Essential Books Item 420,Books,117.17,64.18,1570,157
421,Eco Electronics Item 421,Electronics,132.30,86.91,193,19
422,Pro Clothing Item 422,Clothing,253.12,93.99,1827,182
423,Smart Home Item 423,Home,434.14,307.12,1275,127
424,Ultra Clothing Item 424,Clothing,463.88,284.15,986,98
425,Eco Books Item 425,Books,476.92,267.28,745,74
426,Essential Toys Item 426,Toys,74.13,30.40,703,70
427,Pro Sports Item 427,Sports,224.35,146.20,1924,192
428,Pro Clothing Item 428,Clothing,184.55,81.64,368,36
429,Classic Beauty Item 429,Beauty,175.31,77.07,436,43
430,Ultra Garden Item 430,Garden,477.83,203.84,639,63
431,Deluxe Clothing Item 431,Clothing,34.96,22.86,1683,168
432,Pro Electronics Item 432,Electronics,88.40,37.20,1881,188
433,Eco Clothing Item 433,Clothing,70.61,37.77,1631,163
434,Classic Electronics Item 434,Electronics,480.94,358.92,282,28
435,Smart Beauty Item 435,Beauty,293.18,217.12,974,97
436,Essential Garden Item 436,Garden,152.67,59.37,1508,150
437,Deluxe Books Item 437,Books,147.08,56.98,1514,151
438,Eco Home Item 438,Home,245.72,161.62,1302,130
439,Pro Home Item 439,Home,490.85,293.92,122,12
440,Eco Books Item 440,Books,239.06,152.87,1749,174
441,Ultra Clothing Item 441,Clothing,219.10,86.39,153,15
442,Deluxe Toys Item 442,Toys,486.79,318.25,1378,137
443,Smart Clothing Item 443,Clothing,80.61,56.36,1423,142
444,Classic Home Item 444,Home,440.50,208.54,637,63
445,Smart Beauty Item 445,Beauty,458.07,223.38,1219,121
446,Ultra Garden Item 446,Garden,437.37,189.99,1836,183
447,Deluxe Electronics Item 447,Electronics,461.54,249.53,464,46
448,Smart Home Item 448,Home,140.60,58.77,1223,122
449,Smart Beauty Item 449,Beauty,82.15,30.71,1269,126
450,Smart Garden Item 450,Garden,334.29,154.13,1872,187
451,Eco Books Item 451,Books,197.99,85.89,1359,135
452,Classic Books Item 452,Books,134.14,60.77,897,89
453,Deluxe Beauty Item 453,Beauty,65.01,25.32,39,5
454,Eco Clothing Item 454,Clothing,189.30,129.67,1483,148
455,Eco Clothing Item 455,Clothing,314.38,121.76,1818,181
456,Deluxe Beauty Item 456,Beauty,268.60,111.62,881,88
457,Classic Toys Item 457,Toys,21.38,13.10,364,36
458,Ultra Sports Item 458,Sports,122.40,61.03,156,15
459,Smart Sports Item 459,Sports,294.90,187.00,363,36
460,Smart Beauty Item 460,Beauty,135.93,84.68,596,59
461,Classic Beauty Item 461,Beauty,14.54,5.55,833,83
